TIPOLOGIA,NOME,VIA,CITTA',CAP,PROVINCIA,EMAIL,TELEFONO,FAX,LAT,LONG,ORGANO VALIDAZIONE,ID
RISTORANTE,"Ristorante ""La Cantina di Toia""","Piazza Toia, 12 - Bacchereto",CARMIGNANO,59015,Prato,cantinaditoia@libero.it,0558 717135 - 0558 717167,0558 717135,"43,80758000000","10,98744700000",-,159
RISTORANTE,RISTORANTE DA DELFINA,"Via della Chiesa, 1","Artimino, CARMIGNANO",59015,Prato,posta@dadelfina.it,055 8718074,055 8718175,"43,83839200000","11,00092800000",Confcommercio,2019
RISTORANTE,Ristorante Enoteca Antica Torre,Piazza Matteotti 15,CARMIGNANO,59015,Prato,info@hotelvillasanmichele.com,055 8715872  -  055 8712096,055 8711564,"43,81348150000","11,01799140000",Confcommercio,2132
RISTORANTE,Antica Osteria dei Mercanti,via Ser Lapo Mazzei  8,CARMIGNANO,59015,Prato,info@osteriadeimercanti.net,055 8711587  / 345 1560760,,"43,81346090000","11,01889100000",Confcommercio,2424
BOTTEGA,Il Bacco Goloso,"Via 5 martiri,3","Artimino, CARMIGNANO",59015,Prato,simona.c75@virgilio.it,055 8751433,055 8751433,"43,81431840000","11,01948170000",Regione Toscana,2180
BOTTEGA,"Macelleria ""Beef & Pork""",Via Baccheretana 241,"Seano, CARMIGNANO",59011,Prato,beefepork@aliceposta.it,055 8706041,055 8706041,"43,83090440000","11,02128660000",Confcommercio,2438
RISTORANTE,"Ristorante ""Lo Schiaccianoci""","Via Oste, 39",MONTEMURLO,59013,Prato,,0574 791045,,"43,90327000000","11,02937900000",-,190
RISTORANTE,Osteria Beccaceci,"Via Venezia, 6","Oste, MONTEMURLO",59013,Prato,,0574 680266,,"43,90780900000","11,03320300000",-,160
RISTORANTE,Ristorante La Furba,Via Statale 99,"Poggetto, POGGIO A CAIANO",59016,Prato,la.furba@virgilio.it,055 8705316,,"43,82791730000","11,03942070000",Confcommercio,2020
RISTORANTE,RISTORANTE CASA LA QUERCE,via la querce 43.45.47,MONTEMURLO,59013,Prato,news@ristorantecasalaquercemontemurlo.it,0574683590,,"43,92173450000","11,03944590000",Regione Toscana,2428
