service_id,date,exception_type
"1726_209140","20160407","1"
"1726_209140","20160408","1"
"1726_209140","20160411","1"
"1726_209140","20160412","1"
"1726_209140","20160413","1"
"1726_209140","20160414","1"
"1726_209140","20160415","1"
"1726_209140","20160418","1"
"1726_209140","20160419","1"
"1726_209140","20160420","1"
"1726_209140","20160421","1"
"1726_209140","20160422","1"
"1726_209140","20160426","1"
"1726_209140","20160427","1"
"1726_209140","20160428","1"
"1726_209140","20160429","1"
"1726_209140","20160502","1"
"1726_209140","20160503","1"
"1726_209140","20160504","1"
"1726_209140","20160505","1"
"1726_209140","20160506","1"
"1726_209140","20160509","1"
"1726_209140","20160510","1"
"1726_209140","20160511","1"
"1726_209140","20160512","1"
"1726_209140","20160513","1"
"1726_209140","20160516","1"
"1726_209140","20160517","1"
"1726_209140","20160518","1"
"1726_209140","20160519","1"
"1726_209140","20160520","1"
"1726_209140","20160523","1"
"1726_209140","20160524","1"
"1726_209140","20160525","1"
"1726_209140","20160526","1"
"1726_209140","20160527","1"
"1726_209140","20160530","1"
"1726_209140","20160531","1"
"1726_209140","20160601","1"
"1726_209140","20160603","1"
"1726_209140","20160606","1"
"1726_209140","20160607","1"
"1726_209140","20160608","1"
"1726_209140","20160609","1"
"1726_209140","20160610","1"
"1726_209140","20160915","1"
"1726_209140","20160916","1"
"1726_209140","20160919","1"
"1726_209140","20160920","1"
"1726_209140","20160921","1"
"1726_209140","20160922","1"
"1726_209140","20160923","1"
"1726_209140","20160926","1"
"1726_209140","20160927","1"
"1726_209140","20160928","1"
"1726_209140","20160929","1"
"1726_209140","20160930","1"
"1726_209140","20161003","1"
"1726_209140","20161004","1"
"1726_209140","20161005","1"
"1726_209140","20161006","1"
"1726_209140","20161007","1"
"1726_209140","20161010","1"
"1726_209140","20161011","1"
"1726_209140","20161012","1"
"1726_209140","20161013","1"
"1726_209140","20161014","1"
"1726_209140","20161017","1"
"1726_209140","20161018","1"
"1726_209140","20161019","1"
"1726_209140","20161020","1"
"1726_209140","20161021","1"
"1726_209140","20161024","1"
"1726_209140","20161025","1"
"1726_209140","20161026","1"
"1726_209140","20161027","1"
"1726_209140","20161028","1"
