REGIONE,PROVINCIA,PLESSO/SCUOLA,DENOMINAZIONE,INDIRIZZO,CAP,COMUNE,TIPO ISTITUZIONE,LATITUDINE,LONGITUDINE
Toscana,Prato,PO1A001003,CHARITAS,"PIAZZA FIRENZUOLA, 12",59021,VAIANO,SCUOLA INFANZIA NON STATALE,"43,977030","11,124950"
Toscana,Prato,PO1A00400E,MARIA IMMACOLATA,"VIA DON ROBERTO VOLPI, 3/5",59014,PRATO,SCUOLA INFANZIA NON STATALE,"43,842840","11,046610"
Toscana,Prato,PO1A00500A,BEATA VERGINE DEL ROSARIO,"VIA BORGO A CASALE,125",59014,PRATO,SCUOLA INFANZIA NON STATALE,"43,876900","11,038360"
Toscana,Prato,PO1A006006,SANTA MARIA,"VIA PISTOISE, 584",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,895670","11,063890"
Toscana,Prato,PO1A007002,SACRO CUORE,"VIA PIERACCIOLI, 50",59012,PRATO,SCUOLA INFANZIA NON STATALE,"43,888050","11,056190"
Toscana,Prato,PO1A00900N,S.TERESA DEL BAMBIN GESU',"VIA MUGELLESE,54/C",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,862630","11,138370"
Toscana,Prato,PO1A01000T,SAN GIOVANNI BOSCO,"VIA ARCIVESCOVO LIMBERTI, 86",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,862380","11,087200"
Toscana,Prato,PO1A01100N,CUORE IMMACOLATO DI MARIA,"VIA OFANTO,1",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,891100","11,092270"
Toscana,Prato,PO1A01200D,MARIA IMMACOLATA,"VIA CANTAGALLO, 6",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,897170","11,100970"
Toscana,Prato,PO1A013009,MARIA IMMACOLATA,"VIA MUZIO CLEMENTI, 47",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,888390","11,074970"
Toscana,Prato,PO1A014005,SAN GIUSEPPE,"VIA A. DELLA ROBBIA, 4",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,875570","11,105990"
Toscana,Prato,PO1A015001,MADONNA DELL'ULIVO,VIA R. DEL GHIRLANDAIO 5,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,867290","11,110390"
Toscana,Prato,PO1A01700L,SACRO CUORE,"VIA AMBRA, 2",59016,POGGIO A CAIANO,SCUOLA INFANZIA NON STATALE,"43,815930","11,053590"
Toscana,Prato,PO1A01800C,SACRO CUORE,"PIAZZA MONS.CONTARDI, 2",59013,MONTEMURLO,SCUOLA INFANZIA NON STATALE,"43,926862","11,037207"
Toscana,Prato,PO1A019008,MARIA ASSUNTA,"VIA BOLOGNA, 285",59025,CANTAGALLO,SCUOLA INFANZIA NON STATALE,"43,976880","11,123930"
Toscana,Prato,PO1A02000C,SANTA GIULIANA,"PIAZZA SAN PIETRO, 6",59015,CARMIGNANO,SCUOLA INFANZIA NON STATALE,"43,814318","11,019482"
Toscana,Prato,PO1A021008,IL GIROTONDO,VIA S. BOTTICELLI 62,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,870880","11,105660"
Toscana,Prato,PO1A02400Q,SANTA CATERINA DE RICCI,"VIA S. VINCENZO, 2",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,882190","11,093310"
Toscana,Prato,PO1A028003,GALCIANA,VIA B.VALORI 1,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,886310","11,059010"
Toscana,Prato,PO1A030003,FONTANELLE,VIA DEL PALASACCIO 7,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,844410","11,074090"
Toscana,Prato,PO1A03100V,CORRIDONI,VIA CORRIDONI 11/13/15/17,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,893630","11,091760"
Toscana,Prato,PO1A03200P,MALISETI,VIA CEFALONIA 12,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,903060","11,076740"
Toscana,Prato,PO1A035006,GALILEI,"VIA ADA NEGRI, 53",59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,894910","11,103730"
Toscana,Prato,PO1A036002,FIGLINE,VIA CANTAGALLO 250,59100,PRATO,SCUOLA INFANZIA NON STATALE,"43,922370","11,091580"
