REGIONE,PROVINCIA,PLESSO/SCUOLA,DENOMINAZIONE,ISTITUTO PRINCIPALE,DENOMINAZIONE ISTITUTO PRINCIPALE,INDIRIZZO,CAP,COMUNE,CARATTERISTICA,TIPO ISTITUZIONE,LATITUDINE,LONGITUDINE
Toscana,Prato,POAA804011,'COLLODI',POIC804004,IC CURZIO MALAPARTE,VIA DEL PURGATORIO 26,59100,PRATO,,SCUOLA INFANZIA,"43,873100","11,085990"
Toscana,Prato,POAA80501R,LE BADIE,POIC80500X,CONVENEVOLE,VIA RIGHI,59100,PRATO,,SCUOLA INFANZIA,"43,859910","11,095850"
Toscana,Prato,POAA808018,PIETRO MASCAGNI,POIC80800B,P. MASCAGNI,VIA TOSCANINI 2,59100,PRATO,,SCUOLA INFANZIA,"43,882250","11,076350"
Toscana,Prato,POAA809014,VILLA CHARITAS,POIC809007,MARCO POLO,VIA DEL CEPPO VECCHIO 2,59100,PRATO,,SCUOLA INFANZIA,"43,878410","11,098320"
Toscana,Prato,POAA81201X,QUARATA,POIC812003,ROBERTO CASTELLANI,VIA DA QUARATA  24,59014,PRATO,,SCUOLA INFANZIA,"43,864550","11,042910"
Toscana,Prato,POAA81301Q,S.GIUSTO - DON MILANI,POIC81300V,DON LORENZO MILANI,VIA DELLE GARDENIE 73,59100,PRATO,,SCUOLA INFANZIA,"43,873520","11,070380"
Toscana,Prato,POAA81401G,GANDHI,POIC81400P,GANDHI,"VIA MANNOCCI, 23",59012,PRATO,,SCUOLA INFANZIA,"43,884990","11,053960"
Toscana,Prato,POAA81501B,CHIESANUOVA,POIC81500E,F.LIPPI,VIA TOTI,59100,PRATO,,SCUOLA INFANZIA,"43,894330","11,089750"
ToscanaAPERINO - VIA DELL'ALLORO,POIC81900T,PRIMO LEVI,VIA PASTORE,59100,PRATO,,SCUOLA INFANZIA,"43,842930","11,089710"
Toscana,Prato,POAA82001V,CILIANUZZO,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA DI CILIANUZZO 10,59100,PRATO,,SCUOLA INFANZIA,"43,892920","11,098060"
Toscana,Prato,POAA82101P,VIA FERRUCCI,POIC82100T,IVA PACETTI,VIA FERRUCCI 416,59100,PRATO,,SCUOLA INFANZIA,"43,864530","11,115190"
Toscana,Prato,POAA808029,SAN PAOLO-IL PINO,POIC80800B,P. MASCAGNI,VIA GALCIANESE 20/E,59100,PRATO,,SCUOLA INFANZIA,"43,879620","11,083640"
